,ms,IAW,IBW,ICW,VAY,VBY,VCY
0,0E-16,6.076137065172184528,-6.189604080119857391,0.105324031395941637,0.084968763703095184584,-0.084515658274648232879,-0.000486181149651006009
1,0.124977963119745247,6.246320034204032300,-6.019461654949652904,-0.226802122578858925,0.087171777417348413136,-0.082133967644688357689,-0.005103142872339780986
2,0.2500257463306188433,6.408342381344243016,-5.833001874318569665,-0.558928276553659487,0.089165166883113339816,-0.079493525440115557787,-0.009735785212214508075
3,0.3750037094503640903,6.521741023046782940,-5.646712066140203913,-0.899213107801126593,0.090946972995263905728,-0.076707045415022584468,-0.014304725044771304709
4,0.4999816725701093373,6.643130273684884148,-5.436116197223237520,-1.231509234219107708,0.092550500540943112104,-0.073774527569409437732,-0.018840343565807953105
5,0.6250294557809829336,6.756698928343499844,-5.225520328306271127,-1.555476710921241726,0.093943424285570987160,-0.070680289989663213051,-0.023376942125418723508
6,0.7500074189007281806,6.837625095435567316,-4.990448426197986606,-1.871455482793889753,0.095159049016290532128,-0.067342982748916968186,-0.027798876171857219092
7,0.8749853820204734276,6.918721275483710560,-4.739399113534258307,-2.187434254666537780,0.096098439924235772760,-0.063940987614517492143,-0.032205129601109762564
8,1.0000331652313470239,6.983496211748579692,-4.488179828417812521,-2.511401731368671798,0.096843879424701182688,-0.060393934779198649216,-0.036531019867284301462
9,1.1250111283510922709,7.023959295294613428,-4.228971838023644846,-2.827380503241319825,0.097411040358695233080,-0.056684182090145921811,-0.040758906276046639660
10,1.2499890914708375179,7.056431769905085880,-3.953446492168598419,-3.135200597841301308,0.097701967469914979136,-0.052860735527399636578,-0.044922110138916925396
11,1.3749670545905827649,7.072583000732284220,-3.669932441035830103,-3.426873310339130256,0.097815595567226395104,-0.048891251144133177928,-0.048940268292817154096
12,1.5000148378014563612,7.080743622623921276,-3.378259712172622411,-3.710557318007473213,0.097669642235335007352,-0.044906084847253814750,-0.052925105135197234558
13,1.6249928009212016082,7.048271148013448824,-3.078598278031692830,-3.985912675959969073,0.097394387965123732464,-0.040710192836201046977,-0.056748235612847183865
14,1.7499707640409468552,7.032119917186250484,-2.778766871438045762,-4.261438006355645486,0.096827227031129682072,-0.036481956878321663615,-0.060442000998713028248
15,1.8750185472518204515,6.983496211748579692,-2.470946759566676805,-4.528804659478655355,0.096081787530664272144,-0.032141007166349528958,-0.063974060019848741476
16,1.9999965103715656985,6.926711884419271844,-2.138820586956707207,-4.771695280783665592,0.095110071388139059728,-0.027734389441123356590,-0.067408115183572254004
17,2.1249744734913109455,6.837625095435567316,-1.822841797354898874,-5.006767169702370391,0.093911099050991015376,-0.023295427769070568633,-0.070648122709619609146
18,2.2500222567021845418,6.732387075624664448,-1.498704330022651165,-5.241669086177894637,0.092501522912791639704,-0.018808440236578260559,-0.073774445761068811476
19,2.3750002198219297888,6.618988433922124524,-1.174736835143120943,-5.468582297823932892,0.090897995367112433328,-0.014272446724045625835,-0.076771403720733908882
20,2.4999781829416750358,6.489268548436310488,-0.842610662533151345,-5.662860800379304971,0.089132841648533368032,-0.009622759337819433283,-0.079492970841070722321
21,2.6250259661525486321,6.359718675906572224,-0.510314517470464260,-5.849320570548371612,0.087091454107179998400,-0.005071083911673894031,-0.082149855415515483298
22,2.7500039292722938791,6.205686937701922792,-0.178188344860494662,-6.043769045546924244,0.084920765627506741632,-0.000421396525447701479,-0.084531349150631960308
23,2.8749818923920391261,6.051825212453349132,0.153937827749474936,-6.205752783897991253,0.082539473346782153544,0.004179284880738164423,-0.086783477793964332394
24,3.0000296756029127224,5.889802865313138416,0.494222678089883910,-6.351589140146905727,0.079995575340594677088,0.008812310233750645914,-0.088792556870914446744
25,3.1250076387226579694,5.679156812735256908,0.834507528430292884,-6.481108141850487113,0.077242053085918898760,0.013413971759537318349,-0.090606608271614281701
26,3.2499856018424032164,5.452359529330177060,1.158475023309823106,-6.618955793269915596,0.074325925105780232064,0.017949965272069953073,-0.092291294580530011734
27,3.3750333850532768127,5.233552854860658496,1.474453812911631439,-6.732327412871344447,0.071231518559170205832,0.022421270890949356619,-0.093749591978823558150
28,3.5000113481730220597,5.006755571455578648,1.806579985521601037,-6.837710327643287307,0.068023483915248763632,0.026923940337054569221,-0.094915837882028746480
29,3.6249893112927673067,4.747485813440026348,2.122558775123409370,-6.918617210597230535,0.064589172629267518944,0.031265870168627510411,-0.096000740583581808229
30,3.7499672744125125537,4.504367286251672388,2.438537564725217703,-6.975388006619535237,0.061090210874126330688,0.035655825860639971718,-0.096762230555674607668
31,3.87501505762338615,4.253258150127757144,2.746357676596586660,-7.032158802641839939,0.057363992924362310496,0.039916405765345970669,-0.097362014163037275952
32,3.999993020743131397,3.969676539393369448,3.062336466198394993,-7.072612244118811553,0.053540799270858374952,0.044064271915959218325,-0.097734428821203638612
33,4.124970983862876644,3.710406781377817148,3.362167872792042061,-7.072612244118811553,0.049685280382774467624,0.048195476033358754920,-0.097863793912987743536
34,4.2500187670737502403,3.402683330880669828,3.637523246194371001,-7.088759626220964088,0.045635810087210729592,0.052114974316984080387,-0.097880454568747817655
35,4.3749967301934954873,3.102950489319083792,3.921037297327139317,-7.080770921391478097,0.041488384535344046760,0.055955082912944076681,-0.097572722456473507457
36,4.4999746933132407343,2.811208256693059040,4.204721320912625120,-7.032158802641839939,0.037259656120745919744,0.059712861462436324203,-0.097054282050762965754
37,4.6250224765241143306,2.503314793239835948,4.480076694314954060,-6.991535388721687772,0.032982929630559349776,0.063293238364182589252,-0.096389815897508245008
